time_us,dt_us,session_id,trial_id,sample_index,phase,jaw_ax_mg,jaw_ay_mg,jaw_az_mg,jaw_gx_cdeg_s,jaw_gy_cdeg_s,jaw_gz_cdeg_s,ref_ax_mg,ref_ay_mg,ref_az_mg,ref_gx_cdeg_s,ref_gy_cdeg_s,ref_gz_cdeg_s,label,ready_mask,late_us,read_span_us,target_name,target_type
643579818,0,1,40,0,0,-976,122,-116,-403,-159,-49,-976,135,-126,-37,24,-43,0,3,2,8097,live,unknown
643602014,22196,1,40,1,0,-981,118,-141,-18,391,-37,-985,133,-105,-226,195,18,0,15,2198,5522,live,unknown
643622225,20211,1,40,2,0,-990,145,-107,-281,-122,37,-986,139,-133,-262,-92,-6,0,15,2409,4057,live,unknown
643641125,18900,1,40,3,0,-980,125,-148,-262,85,-43,-979,116,-143,-226,146,-49,0,15,1309,3955,live,unknown
643659818,18693,1,40,4,0,-979,116,-131,-128,104,-24,-979,118,-124,-49,55,-31,0,15,2,3899,live,unknown
643679818,20000,1,40,5,0,-980,122,-125,-24,49,-73,-979,130,-129,-43,73,-85,0,15,2,2754,live,unknown
643699817,19999,1,40,6,0,-979,137,-128,-79,85,-55,-979,137,-125,-73,73,-18,0,15,1,1544,live,unknown
643719818,20001,1,40,7,0,-977,132,-121,-67,104,12,-979,137,-125,-73,73,-18,0,3,2,8096,live,unknown
643742029,22211,1,40,8,0,-977,134,-127,-128,31,43,-977,129,-134,-92,18,37,0,15,2213,6282,live,unknown
643762825,20796,1,40,9,0,-980,119,-138,0,24,6,-983,111,-135,67,37,-49,0,15,3009,4287,live,unknown
643781191,18366,1,40,10,0,-983,114,-129,24,31,-73,-982,124,-124,-18,18,-67,0,15,1375,4603,live,unknown
643800213,19022,1,40,11,0,-982,136,-124,67,-12,-55,-980,138,-123,122,-18,-55,0,15,397,4381,live,unknown
643819818,19605,1,40,12,0,-975,130,-113,-31,-43,-43,-973,126,-110,-244,-140,-49,0,15,2,3576,live,unknown
643839817,19999,1,40,13,0,-978,126,-136,-12,-177,-18,-976,121,-159,317,116,18,0,15,1,2316,live,unknown
643859818,20001,1,40,14,0,-976,115,-129,-24,61,-18,-986,123,-94,317,116,18,0,7,2,8053,live,unknown
643882014,22196,1,40,15,0,-978,131,-140,-18,-49,-12,-972,127,-140,-171,189,-6,0,15,2198,7016,live,unknown
643903902,21888,1,40,16,0,-974,128,-129,-153,165,6,-978,125,-127,18,85,0,0,15,4086,3870,live,unknown
643922124,18222,1,40,17,0,-980,121,-133,104,67,-24,-977,125,-136,92,92,-43,0,15,2308,4395,live,unknown
